pmid,title,abstract,category,tags,technology,biological_topic,confidence,has_new_data,has_code
34518039,Detection of NTRK fusions in glioblastoma: fluorescent in situ hybridisation is more useful than pan-TRK immunohistochemistry as a screening tool prior to RNA sequencing.,"Glioblastomas are frequent malignant brain tumours with a very poor prognosis and a need for new and efficient therapeutic strategies. With the approval of anti-TRK targeted therapies to treat patients with advanced NTRK-rearranged cancers, independent of the type of cancer, potential new treatment opportunities are available for the 0.5-5% of patients with NTRK-rearranged glioblastomas. Identification of these rare NTRK-rearranged glioblastomas requires efficient diagnostic tools and strategies",Research,,,Cancer,high,True,False
39181076,Integrated multi-omics analyses reveal the pro-inflammatory and pro-fibrotic pulmonary macrophage subcluster in silicosis.,"Silicosis is a lethal occupational disease caused by long-term exposure to respirable silica dust. Pulmonary macrophages play a crucial role in mediating the initiation of silicosis. However, the phenotypic and functional heterogeneities of pulmonary macrophages in silicosis have not been well-studied. The silicosis mouse model was established by intratracheal administration of silica suspension. Bronchoalveolar lavage fluids (BALFs) of mice were collected for the multiplex cytokine analysis. Si",Research,Spatial Trajectory Inference; Niche & Microenvironment; Spatial Integration; Cell-Type Deconvolution,,Lung & Respiratory,medium,True,False
41875300,Host-viral interaction of HBV infection revealed by single-cell transcriptome jointly profiling the viral replication state.,"Hepatitis B virus (HBV) infection exhibits marked cellular heterogeneity, which conventional poly(A)-based single-cell RNA sequencing fails to resolve this heterogeneity owing to the overwhelming host transcript background. To overcome this, we developed B-BEST (HBV can BE Seen on host Transcriptome), a targeted sc/snRNA-seq approach using custom beads conjugated with HBV-specific probes to simultaneously quantify 5 viral genomic regions (S, X, pgRNA, rcDNA, cccDNA). We validated B-BEST in HepAD",Technology,,,Liver & Hepatology,medium,True,False
39364136,Embryonic development grand challenge: crosslinking advances.,"Research on embryonic development is entering into a new era. As a traditionally descriptive discipline within anatomy, embryologists have formed international consortia and digitized important histological collections for preservation and open access. Embryonic development has recently received a wider attention in context with temporo-spatial transcriptomics at single cell level. These can be expected to fuel the realization of the transdisciplinary significance of efforts to decipher embryoni",Review,,,Developmental Biology,medium,False,False
32298094,In Situ Fluorescence Tomography Enables a 3D Mapping of Enzymatic O<sub>2</sub> Reduction at the Electrochemical Interface.,Getting information about the fate of immobilized enzymes and the evolution of their environment during turnover is a mandatory step toward bioelectrode optimization for effective use in biodevices. We demonstrate here the proof-of-principle visual characterization of the reactivity at an enzymatic electrode thanks to fluorescence confocal laser scanning microscopy (FCLSM) implemented in situ during the electrochemical experiment. The enzymatic O<sub>2</sub> reduction involves proton-coupled ele,Technology,,,,high,True,False
38555105,Morphology combined with <i>HER2</i> D-DISH ploidy analysis to diagnose partial hydatidiform mole: an evaluation audit using molecular genotyping.,"A hydatidiform mole (HM) is classified as complete (CHM) or partial (PHM) based on its morphology and genomic composition. Ancillary techniques are often required to confirm a morphologically suspected PHM diagnosis. This study sought to evaluate the clinical accuracy of PHM diagnosis using morphological assessment supported by <i>HER2</i> dual-colour dual-hapten in situ hybridisation (D-DISH) ploidy determination. Over a 2-year period, our unit examined 1265 products of conception (POCs) from w",Research,,,,high,True,False
41370001,Clinical ERG break-apart fluorescence in situ hybridization assay: practical utility and lessons from an 8-year tertiary institution experience.,"ERG gene fusions are present in up to 60% of localized prostate cancer and up to 45% of metastatic prostate cancer. Fluorescence in situ hybridization (FISH) assays can detect the vast majority of ERG gene fusions and help confirm prostatic origin. We reviewed clinical ERG FISH assays performed at our tertiary institution by our in-house consult services between 2016 and 2024 where prostatic adenocarcinoma was in the differential diagnosis. We summarized clinical information, immunohistochemistr",Research,,,Cancer,high,True,False
40236251,mcDETECT: Decoding 3D Spatial Synaptic Transcriptomes with Subcellular-Resolution Spatial Transcriptomics.,"Spatial transcriptomics (ST) has shown great potential for unraveling the molecular mechanisms of neurodegenerative diseases. However, most existing analyses of ST data focus on bulk or single-cell resolution, overlooking subcellular compartments such as synapses, which are fundamental structures of the brain's neural network. Here we present mcDETECT, a novel framework that integrates machine learning algorithms and <i>in situ</i> ST (iST) with targeted gene panels to study synapses. mcDETECT i",Technology,Spatial Domain Identification; Benchmarking & Evaluation; 3D Reconstruction; Image-Based Analysis,Xenium; MERFISH; CosMx,Neuroscience,high,False,True
37728123,Detection of Human Papillomavirus in Squamous Papilloma of the Esophagus.,<i>Introduction:</i> The etiology of esophageal squamous papilloma (ESP) is largely unknown. Previous studies have shown a variable association with human papillomavirus (HPV) with conflicting data. The aim of this study was to further investigate the possible association of HPV in our ESP series using RNA in-situ hybridization (ISH) and compare study groups from the United States of America and China. <i>Methods:</i> Demographic and clinical data of patients with ESP were retrieved from the Uni,Research,,,Gastrointestinal,high,True,False
40545244,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"Understanding how cells respond to biological perturbations over time and across tissues is key to identifying regulators and networks that inform personalized medicine. Current methods struggle to quantify these dynamic influences in complex multicellular or multitissue systems, especially using single-cell data with spatial and temporal resolution. To address this, we introduce Perturb-STNet, a novel framework that leverages network-based spatiotemporal models to rank spatial and temporal diff",,,,,,False,False
40531365,Unveiling Moxibustion's Impact on AD Mice Learning and Memory: Role of Mitochondrial Respiratory Chain Complex I Subunit in the Hippocampus.,"Alzheimer's disease (AD) is a prevalent neurodegenerative disorder characterized by significant impairment in energy metabolism. Our previous studies have demonstrated that moxibustion can ameliorate cognitive dysfunction by enhancing brain energy metabolism in individuals with AD, yet its fundamental mechanism remains incompletely understood. In this study, spatial transcriptomics, biochemical assays, and transmission electron microscopy were utilized to identify differentially expressed genes ",Research,Spatially Variable Genes; Spatial Co-Expression,,Neuroscience,high,True,False
40881677,Immunotherapy biomarkers in brain metastases: insights into tumor microenvironment dynamics.,"Brain metastases (BM), represent the most common intracranial malignancies in adults and remain a major clinical challenge due to their poor prognosis and limited therapeutic options. Although immunotherapy has emerged and offers a promising strategy, its efficacy in BM is often compromised by the immunosuppressive tumor microenvironment (TME) and limited immune cell infiltration. This review highlights the critical role of cytokines and growth factors as key modulators of immune dynamics in the",Review,,,Cancer,medium,False,False
39779896,Sialic acid aptamer and RNA in situ hybridization-mediated proximity ligation assay for spatial imaging of glycoRNAs in single cells.,"Glycosylated RNAs (glycoRNAs) have recently emerged as a new class of molecules of substantial interest owing to their potential roles in cellular processes and diseases. However, studying glycoRNAs is challenging owing to the lack of effective research tools including, but not limited to, imaging techniques to study the spatial distribution of glycoRNAs. Recently, we reported the development of a glycoRNA imaging technique, called sialic acid aptamer and RNA in situ hybridization-mediated proxi",Protocol,Image-Based Analysis,,,medium,False,False
33685491,Giotto: a toolbox for integrative analysis and visualization of spatial expression data.,"Spatial transcriptomic and proteomic technologies have provided new opportunities to investigate cells in their native microenvironment. Here we present Giotto, a comprehensive and open-source toolbox for spatial data analysis and visualization. The analysis module provides end-to-end analysis by implementing a wide range of algorithms for characterizing tissue composition, spatial expression patterns, and cellular interactions. Furthermore, single-cell RNAseq data can be integrated for spatial ",Technology,Spatial Domain Identification; Spatially Variable Genes; Cell-Type Deconvolution; Cell-Cell Communication,,,high,False,True
33558695,Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex.,"We used the 10x Genomics Visium platform to define the spatial topography of gene expression in the six-layered human dorsolateral prefrontal cortex. We identified extensive layer-enriched expression signatures and refined associations to previous laminar markers. We overlaid our laminar expression signatures on large-scale single nucleus RNA-sequencing data, enhancing spatial annotation of expression-driven clusters. By integrating neuropsychiatric disorder gene sets, we showed differential lay",Research,Spatial Domain Identification; Cell-Type Deconvolution; Spatial Integration; Spatial Preprocessing,Visium,Neuroscience,high,True,True
36856115,Single-cell RNA sequencing and spatial transcriptomics reveal cancer-associated fibroblasts in glioblastoma with protumoral effects.,Cancer-associated fibroblasts (CAFs) were presumed absent in glioblastoma given the lack of brain fibroblasts. Serial trypsinization of glioblastoma specimens yielded cells with CAF morphology and single-cell transcriptomic profiles based on their lack of copy number variations (CNVs) and elevated individual cell CAF probability scores derived from the expression of 9 CAF markers and absence of 5 markers from non-CAF stromal cells sharing features with CAFs. Cells without CNVs and with high CAF ,Research,Spatial Trajectory Inference; Cell-Cell Communication; Niche & Microenvironment,,Cancer,medium,True,False
28398467,ST Pipeline: an automated pipeline for spatial mapping of unique transcripts.,"In recent years we have witnessed an increase in novel RNA-seq based techniques for transcriptomics analysis. Spatial transcriptomics is a novel RNA-seq based technique that allows spatial mapping of transcripts in tissue sections. The spatial resolution adds an extra level of complexity, which requires the development of new tools and algorithms for efficient and accurate data processing. Here we present a pipeline to automatically and efficiently process RNA-seq data obtained from spatial tran",Technology,Spatial Preprocessing,,,high,False,True
40401371,Single-Cell and Spatial Transcriptomics Identified Fatty Acid-Binding Proteins Controlling Endothelial Glycolytic and Arterial Programming in Pulmonary Hypertension.,"Pulmonary arterial hypertension (PAH) is a devastating disease characterized by obliterative vascular remodeling and persistent increase of vascular resistance, leading to right heart failure and premature death. Understanding the cellular and molecular mechanisms will help develop novel therapeutic approaches for patients with PAH. Recent studies showed that FABP (fatty acid-binding protein) 4 and FABP5 are expressed in endothelial cells (ECs) across multiple tissues, and circulating FABP4 leve",Research,Spatial Domain Identification,,Lung & Respiratory,medium,True,False
41540123,Integration of imaging-based and sequencing-based spatial omics mapping on the same tissue section via DBiTplus.,"Spatially mapping the transcriptome and proteome in the same tissue section can profoundly advance our understanding of cellular heterogeneity and function. Here we present Deterministic Barcoding in Tissue sequencing plus (DBiTplus), an integrative multimodal spatial omics approach combining sequencing-based spatial transcriptomics and multiplexed protein imaging on the same section, enabling both single-cell-resolution cell typing and transcriptome-wide interrogation of biological pathways. DB",Technology,Multi-Omics Integration; Spatial Integration; Image-Based Analysis; Cell-Type Deconvolution,DBiT-seq,Cancer,high,True,True
31913438,BEM: Mining Coregulation Patterns in Transcriptomics via Boolean Matrix Factorization.,"The matrix factorization is an important way to analyze coregulation patterns in transcriptomic data, which can reveal the tumor signal perturbation status and subtype classification. However, current matrix factorization methods do not provide clear bicluster structure. Furthermore, these algorithms are based on the assumption of linear combination, which may not be sufficient to capture the coregulation patterns. We presented a new algorithm for Boolean matrix factorization (BMF) via expectati",Technology,Spatial Co-Expression,,Cancer,medium,False,True
35487823,Singling out motor neurons in the age of single-cell transcriptomics.,"Motor neurons are a remarkably powerful cell type in the central nervous system. They innervate and control the contraction of virtually every muscle in the body and their dysfunction underlies numerous neuromuscular diseases. Some motor neurons seem resistant to degeneration whereas others are vulnerable. The intrinsic heterogeneity of motor neurons in adult organisms has remained elusive. The development of high-throughput single-cell transcriptomics has changed the paradigm, empowering rapid ",Review,,,Neuroscience,high,False,False
41701590,PGST: A prototype-guided parameter-efficient network for spatial transcriptomics prediction.,"Spatial transcriptomics (ST) aims to decode spatially resolved gene expression patterns while preserving tissue morphology. Current methods tend to use lower-cost deep learning approaches for gene expression prediction, yet face severe challenges. First, existing methods fail to give sufficient consideration to the spatial specificity of positional encoding inherent in ST; second, they neglect to leverage spatially coherent co-expression patterns across different domains; third, their reliance o",Technology,Gene Imputation; Spatial Co-Expression,,,medium,False,True
32923457,Pinpointing Cell Identity in Time and Space.,"Mammalian cells display a broad spectrum of phenotypes, morphologies, and functional niches within biological systems. Our understanding of mechanisms at the individual cellular level, and how cells function in concert to form tissues, organs and systems, has been greatly facilitated by centuries of extensive work to classify and characterize cell types. Classic histological approaches are now complemented with advanced single-cell sequencing and spatial transcriptomics for cell identity studies",Review,Image-Based Analysis,,,medium,False,False
32710401,Quantitative Fluorescence In Situ Hybridization Detection of Plant mRNAs with Single-Molecule Resolution.,"Single-molecule FISH (smFISH) has been widely used in animal tissue to localize and quantify RNAs with high specificity. This protocol describes an smFISH method optimized for highly autofluorescent plant tissue. It provides details on fixation buffers and protocols to protect the integrity of plant samples. We also provide smFISH hybridization conditions to detect plant RNA with ~50 fluorescently labeled DNA oligonucleotides. In addition, this protocol provides instructions on linear spectral u",Protocol,Image-Based Analysis,,Plant Biology,medium,False,False
33230773,Visualizing Mitochondrial Ribosomal RNA and Mitochondrial Protein Synthesis in Human Cell Lines.,"Human mitochondria contain their own DNA (mtDNA) that encodes 13 proteins all of which are core subunits of oxidative phosphorylation (OXPHOS) complexes. To form functional complexes, these 13 components need to be correctly assembled with approximately 70 nuclear-encoded subunits that are imported following synthesis in the cytosol. How this complicated coordinated translation and assembly is choreographed is still not clear. Methods are being developed to determine whether all members of a par",Protocol,Image-Based Analysis,,,medium,False,False
27537935,Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia Is Separated into Two Subgroups Associated with Survival by BCR-ABL Fluorescence in situ Hybridization of Segmented Cell Nuclei: Report from a Single Institution.,Philadelphia chromosome-positive (Ph+) acute lymphoblastic leukemia (ALL) may include the lymphoid blast crisis of chronic myeloid leukemia (CML-BC). We applied fluorescence in situ hybridization (FISH) of the BCR-ABL fusion gene to peripheral blood and/or bone marrow smears to determine whether the fusion was restricted to mononuclear cell nuclei or if segmented cell nuclei representing mature neutrophils also carried the fusion (Seg-FISH). Among 20 patients with Ph+ ALL without a prior diagnos,Research,,,Cancer,high,False,False
41398516,Western Diet Inhibits FUT7-Mediated Treg Intestinal Homing to Disrupt the Homeostasis of Intestinal Epithelial Cells in Crohn's Disease.,"The Western diet (WD) is a potential risk factor for developing Crohn's disease (CD), characterized by disordered homeostasis of intestinal epithelial cells (IECs). However, how WD disrupts the IEC homeostasis remains unclear. Here, it is shown that WD disrupts the IEC homeostasis through inhibiting Fut7-mediated Treg intestinal homing to weaken Treg and IEC signaling crosstalk. In this study, it is found that WD disrupted the IEC barrier, downregulated Fut7 expression in Tregs, and decreased co",Research,Cell-Cell Communication; Niche & Microenvironment,,Gastrointestinal,high,True,False
35175659,"Liver zonation, revisited.","The concept of hepatocyte functional zonation is well established, with differences in metabolism and xenobiotic processing determined by multiple factors including oxygen and nutrient levels across the hepatic lobule. However, recent advances in single-cell genomics technologies, including single-cell and nuclei RNA sequencing, and the rapidly evolving fields of spatial transcriptomic and proteomic profiling have greatly increased our understanding of liver zonation. Here we discuss how these t",Review,,,Liver & Hepatology,medium,False,False
40220278,Multi-Manifolds fusing hyperbolic graph network balanced by pareto optimization for identifying spatial domains of spatial transcriptomics.,"Identifying spatial domains for spatial transcriptomics is crucial for achieving comprehensive insights into the pathogenesis of gene expression. Increasingly, computational methods based on graph neural networks are being developed for spatial transcriptomics. However, previous methods have solely focused on the Euclidean manifold. To effectively exploit and explore the informative and deeper topological structures of inherent manifolds, we presented a Multi-Manifolds fusing hyperbolic graph ne",Technology,Spatial Domain Identification,,,high,False,False
41564647,Thyroid hormone signaling causally influences pancreatic disease risk: Evidence from Mendelian randomization and multi-omics integration.,"The relationship between thyroid function and pancreatic disease has been observed clinically, yet causality remains unestablished. We applied bidirectional Mendelian randomization using genetic instruments from genome-wide association studies encompassing over 500,000 individuals to determine causal relationships. We demonstrate that genetic liability to hypothyroidism substantially protects against acute pancreatitis (odds ratio 0.37, 95 % CI 0.17-0.80). Genetically elevated basal metabolic ra",Research,Multi-Omics Integration; Niche & Microenvironment,GeoMx,Cancer,high,True,False
39550585,Advanced single-cell and spatial analysis with high-multiplex characterization of circulating tumor cells and tumor tissue in prostate cancer: Unveiling resistance mechanisms with the CoDuCo in situ assay.,"Metastatic prostate cancer is a highly heterogeneous and dynamic disease and practicable tools for patient stratification and resistance monitoring are urgently needed. Liquid biopsy analysis of circulating tumor cells (CTCs) and circulating tumor DNA are promising, however, comprehensive testing is essential due to diverse mechanisms of resistance. Previously, we demonstrated the utility of mRNA-based in situ padlock probe hybridization for characterizing CTCs. We have developed a novel combina",Technology,Image-Based Analysis,,Cancer,high,True,False
35792866,Biological Misinterpretation of Transcriptional Signatures in Tumor Samples Can Unknowingly Undermine Mechanistic Understanding and Faithful Alignment with Preclinical Data.,"Precise mechanism-based gene expression signatures (GES) have been developed in appropriate in vitro and in vivo model systems, to identify important cancer-related signaling processes. However, some GESs originally developed to represent specific disease processes, primarily with an epithelial cell focus, are being applied to heterogeneous tumor samples where the expression of the genes in the signature may no longer be epithelial-specific. Therefore, unknowingly, even small changes in tumor st",Research,Cell-Type Deconvolution; Benchmarking & Evaluation; Niche & Microenvironment,LCM / Microdissection,Cancer,high,True,True
41275140,Single-cell and spatial transcriptomics reveal lactylation-associated tumor cell clusters and define a prognostic risk model in glioblastoma.,"Glioblastoma (GBM) is the most aggressive adult brain tumor, marked by intratumoral heterogeneity and therapy resistance. Metabolic reprogramming through histone lactylation has been linked to tumor progression and immune suppression. However, the spatial and single-cell landscape of lactylation in GBM and its prognostic significance remain poorly understood. We employed a multi-omics approach integrating bulk RNA sequencing, single-cell RNA sequencing (scRNA-seq), and spatial transcriptomics to",Research,Cell-Cell Communication; Spatial Trajectory Inference,,Cancer,medium,False,False
41637815,Decoding schizophrenia through postmortem human brain transcriptomics.,"Schizophrenia is a highly heritable neuropsychiatric disorder affecting approximately 1% of the population, yet its pathophysiology has remained elusive due to the absence of gross neuropathological changes. In recent years, advances in transcriptomic profiling of postmortem human brain tissue have begun to illuminate the disease's molecular architecture. This mini-review synthesizes findings from case-control bulk tissue and single-nucleus transcriptomics studies, revealing that schizophrenia i",Review,,,Neuroscience,high,False,False
37524695,Schwann cells regulate tumor cells and cancer-associated fibroblasts in the pancreatic ductal adenocarcinoma microenvironment.,"Neuropathy is a feature more frequently observed in pancreatic ductal adenocarcinoma (PDAC) than other tumors. Schwann cells, the most prevalent cell type in peripheral nerves, migrate toward tumor cells and associate with poor prognosis in PDAC. To unveil the effects of Schwann cells on the neuro-stroma niche, here we perform single-cell RNA-sequencing and microarray-based spatial transcriptome analysis of PDAC tissues. Results suggest that Schwann cells may drive tumor cells and cancer-associa",Research,Niche & Microenvironment; Cell-Cell Communication,,Cancer,medium,True,False
39842636,Molecular and cellular morphology of placenta unveils new mechanisms of reproductive immunology.,"Despite of numerous studies of the placenta, some molecular and cellular characteristics, particularly the relationship among different cell types, have not been well understood. We aim to investigate the basic and intricate details of cellular and molecular elements in early and late phase placentas to gain better understanding of the immune regulation of human reproductive process. A novel combination of techniques of spatial transcriptomics(ST), multiple immunohistochemistry, and a dual label",Research,Image-Based Analysis; Cell-Cell Communication; Niche & Microenvironment,,Immunology,medium,True,False
40000871,A spatial transcriptomic signature of 26 genes resolved at single-cell resolution characterizes high-risk gastric cancer precursors.,"Gastric cancer precursors demonstrate highly-variable rates of progression toward neoplasia. Certain high-risk precursors, such as gastric intestinal metaplasia with advanced histologic features, may be at up to 30-fold increased risk for progression compared to lower-risk intestinal metaplasia. The biological differences between high- and low-risk lesions have been incompletely explored. In this study, we use several clinical cohorts to characterize the microenvironment of advanced gastric canc",Research,Spatially Variable Genes; Cell-Type Deconvolution; Spatial Domain Identification; Multi-Omics Integration,,Cancer,medium,True,False
29428551,Detection of Bladder Cancer in Urine Sediments by a Novel Multicolor Fluorescence In Situ Hybridization (Quartet) Test.,"Bladder cancer is among the common human malignancies that show a heavy mutational load and copy number variations of numerous chromosomes, which makes them a target for diagnostic explorations. We aimed to design a multicolor fluorescence in situ hybridization (FISH) test referred to as the quartet test for the detection of bladder cancer in urine. We performed genome-wide copy number variation analysis on cohorts from the University of Texas MD Anderson Cancer Center (n=40) and The Cancer Geno",Research,,,Cancer,medium,True,False
38218939,BIDCell: Biologically-informed self-supervised learning for segmentation of subcellular spatial transcriptomics data.,"Recent advances in subcellular imaging transcriptomics platforms have enabled high-resolution spatial mapping of gene expression, while also introducing significant analytical challenges in accurately identifying cells and assigning transcripts. Existing methods grapple with cell segmentation, frequently leading to fragmented cells or oversized cells that capture contaminated expression. To this end, we present BIDCell, a self-supervised deep learning-based framework with biologically-informed l",Technology,Image-Based Analysis,,,medium,False,True
38355603,Biomarkers and prognostic factors of PD-1/PD-L1 inhibitor-based therapy in patients with advanced hepatocellular carcinoma.,"Systemic therapies using programmed death-1 (PD-1) and programmed death ligand 1 (PD-L1) inhibitors have demonstrated commendable efficacy in some patients with advanced hepatocellular carcinoma (HCC); however, other individuals do not respond favorably. Hence, identifying the biomarkers, the prognostic factors, and their underlying mechanisms is crucial. In this review, we summarized the latest advancements in this field. Within the tumor microenvironment, PD-L1 expression is commonly utilized ",Review,,,Cancer,medium,False,False
37216588,SMDB: a Spatial Multimodal Data Browser.,"Understanding the relationship between fine-scale spatial organization and biological function necessitates a tool that effectively combines spatial positions, morphological information, and spatial transcriptomics (ST) data. We introduce the Spatial Multimodal Data Browser (SMDB, https://www.biosino.org/smdb), a robust visualization web service for interactively exploring ST data. By integrating multimodal data, such as hematoxylin and eosin (H&E) images, gene expression-based molecular cluster",Technology,Spatial Domain Identification; Image-Based Analysis; 3D Reconstruction,,Neuroscience,medium,False,True
40666928,Cerebellum metastasis model of HER2-positive breast cancer unveils key role of IL34-induced Arg1+ macrophages.,"Brain metastases occur in up to 40% of Stage IV breast cancer patients. The cerebellum is a frequent location for metastases in HER2-positive breast cancer patients, but the mechanisms for this are unknown. Here, we developed a syngeneic, immunocompetent mouse model for breast cancer brain metastases by stereotactically injecting mouse HER2-overexpressing breast cancer organoids into the cerebellum. Growth of these cerebellar metastases was monitored by MRI and trastuzumab optical imaging using ",Research,Cell-Cell Communication; Niche & Microenvironment,,Cancer,high,True,False
40375953,Spatial Pathomics Toolkit for Quantitative Analysis of Podocyte Nuclei with Histology and Spatial Transcriptomics Data in Renal Pathology.,"Podocytes, specialized epithelial cells that envelop the glomerular capillaries, play a pivotal role in maintaining renal health. The current description and quantification of features on pathology slides are limited, prompting the need for innovative solutions to comprehensively assess diverse phenotypic attributes within Whole Slide Images (WSIs). In particular, understanding the morphological characteristics of podocytes, terminally differentiated glomerular epithelial cells, is crucial for s",Technology,Image-Based Analysis; Niche & Microenvironment,,Kidney & Nephrology,medium,False,True
42121845,"Spatial Biology Evolution: Past, Present and Future of Mapping Life in Context.","The life sciences are currently undergoing a serious transition from the reductive biochemical analysis of dissociated tissues to non-destructive ""spatial forensics"". In addition to discovering new molecules, we are moving towards finding out their precise tissue localization and performing in situ interrogation to uncover a biological logic within preserved cellular ""neighborhoods"". Our perspective is focused on exploring the spatial imperative, including the structural logic and ""neighborhood ",Review,,,Cancer,medium,False,False
32944910,Mapping of Chromosome Territories by 3D-Chromosome Painting During Early Mouse Development.,"Following fertilization in mammals, the chromatin landscape inherited from the two parental genomes and the nuclear organization are extensively reprogrammed. A tight regulation of nuclear organization is important for developmental success. One main nuclear feature is the organization of the chromosomes in discrete and individual nuclear spaces known as chromosome territories (CTs). In culture cells, their arrangements can be constrained depending on their genomic content (e.g., gene density or",Protocol,,,Developmental Biology,medium,True,False
41316065,The co-location of MARCO + macrophages and SPOCK1 + fibroblasts contributes to the poor prognosis and undesirable immunotherapy response in colorectal cancer.,"Intratumor macrophage infiltration plays a crucial role in various aspects of tumor immunity in colorectal cancer (CRC). However, the phenotypic heterogeneity, spatial distribution, and cellular interactions of these macrophages remain elusive. To overcome the limitations, bulk, single-cell, and spatial transcriptomics were utilized synergistically. We identified two distinct spatial patterns of macrophage infiltration: macrophage + and macrophage-. MARCO + macrophages were found to accumulate i",Research,Spatial Domain Identification; Cell-Cell Communication; Niche & Microenvironment,,Cancer,medium,True,False
36499343,Estimating Metastatic Risk of Pancreatic Ductal Adenocarcinoma at Single-Cell Resolution.,"Pancreatic ductal adenocarcinoma (PDAC) is characterized by intra-tumoral heterogeneity, and patients are always diagnosed after metastasis. Thus, finding out how to effectively estimate metastatic risk underlying PDAC is necessary. In this study, we proposed scMetR to evaluate the metastatic risk of tumor cells based on single-cell RNA sequencing (scRNA-seq) data. First, we identified diverse cell types, including tumor cells and other cell types. Next, we grouped tumor cells into three sub-pop",Research,Spatial Domain Identification; Cell-Cell Communication; Niche & Microenvironment,,Cancer,medium,False,False
38867307,In situ HER2 RNA expression as a predictor of pathologic complete response of HER2-positive breast cancer patients receiving neoadjuvant chemotherapy and anti-HER2 targeted treatment.,"Immunohistochemistry (IHC) and in situ hybridization (ISH) remain standard biomarkers for therapeutic decisions in human epidermal growth factor 2 (HER2)-positive breast cancers (BCs); however, they are insufficient to explain the heterogeneous anti-HER2 response. We aimed to investigate the correlation of in situ HER2 RNA expression (isHRE), using RNAscope, with HER2 biomarkers and the impact of isHRE on the pathological complete response (pCR) rates of 278 patients with HER2 IHC/fluorescence I",Research,,,Cancer,high,True,False
40495757,Filtering for Highly Variable Genes and High-Quality Spots Improves Phylogenetic Analysis of Cancer Spatial Transcriptomics Visium Data.,"Phylogenetic relationship of cells within tumors can help us to understand how cancer develops in space and time and identify driver mutations and other evolutionary events that enable cancer growth and spread. Numerous studies have reconstructed phylogenies from single-cell DNA-seq data. Here, we are looking into the problem of phylogenetic analysis of spatially resolved near single-cell RNA-seq data, which is a cost-efficient alternative (or complementary) data source that integrates multiple ",Research,Spatial Preprocessing; Benchmarking & Evaluation,Visium,Cancer,medium,False,False
39207122,Meningeal solitary fibrous tumor cell states phenocopy cerebral vascular development and homeostasis.,"Meningeal solitary fibrous tumors (SFTs) are rare mesenchymal neoplasms that are associated with local recurrence and hematogenous metastasis. The cell states and spatial transcriptomic architecture underlying the unique clinical behavior of meningeal SFTs are unknown. Single-cell (n = 4), spatial (n = 8), and bulk RNA sequencing (n = 22) were used to define the cell states and spatial transcriptomic architecture of meningeal SFTs across histological grades and in patient-matched pairs of primar",Research,Cell-Cell Communication; Niche & Microenvironment; Spatial Integration; Spatial Domain Identification,,Cancer,high,True,False
31319160,Evaluation of two aneuploidy screening tests for chorionic villus samples: Multiplex ligation-dependent probe amplification and fluorescence in situ hybridization.,"The vast majority of first-trimester pregnancy losses are the consequence of numerical aberrations in fetal chromosomes, which may involve nearly all chromosomes. Although commercial probes for all chromosomes are available for multiplex ligation-dependent probe amplification (MLPA) and fluorescence in situ hybridization (FISH) analyses, their use has rarely been reported for screening all 24 chromosomes for early fetal demise, especially by FISH. Here, we validated the ability of MLPA and FISH ",Research,,,,high,True,False
40418294,Multiomics in Renal Cell Carcinoma: Current Landscape and Future Directions for Precision Medicine.,"Renal cell carcinoma (RCC) is a prevalent and increasingly diagnosed malignancy associated with high mortality and recurrence rates. Traditional diagnostic and therapeutic approaches have limitations due to the disease's molecular heterogeneity. This review aims to explore how the integration of omics sciences-genomics, transcriptomics, proteomics, and metabolomics-can enhance the diagnosis, prognosis, and treatment of RCC. Genomic analyses have uncovered critical mutations, including VHL, PBRM1",Review,Multi-Omics Integration,,Cancer,high,False,False
28481330,Spatially resolved transcriptome profiling in model plant species.,"Understanding complex biological systems requires functional characterization of specialized tissue domains. However, existing strategies for generating and analysing high-throughput spatial expression profiles were developed for a limited range of organisms, primarily mammals. Here we present the first available approach to generate and study high-resolution, spatially resolved functional profiles in a broad range of model plant systems. Our process includes high-throughput spatial transcriptom",Research,Spatially Variable Genes; Spatial Domain Identification,,Plant Biology,medium,True,False
35073334,Evaluation of deep convolutional neural networks for in situ hybridization gene expression image representation.,"High resolution in situ hybridization (ISH) images of the brain capture spatial gene expression at cellular resolution. These spatial profiles are key to understanding brain organization at the molecular level. Previously, manual qualitative scoring and informatics pipelines have been applied to ISH images to determine expression intensity and pattern. To better capture the complex patterns of gene expression in the human cerebral cortex, we applied a machine learning approach. We propose gene r",Research,Image-Based Analysis,,Neuroscience,high,False,True
39846423,SpaGraphCCI: Spatial cell-cell communication inference through GAT-based co-convolutional feature integration.,"Spatially resolved transcriptomics technologies potentially provide the extra spatial position information and tissue image to better infer spatial cell-cell interactions (CCIs) in processes such as tissue homeostasis, development, and disease progression. However, methods for effectively integrating spatial multimodal data to infer CCIs are still lacking. Here, the authors propose a deep learning method for integrating features through co-convolution, called SpaGraphCCI, to effectively integrat",Technology,Cell-Cell Communication; Benchmarking & Evaluation; Image-Based Analysis,,Cancer,high,False,False
